Method,chro,start,end,length,type,qual
cutesv,1,564834,570385,5551,DUP,
cutesv,1,755960,756624,664,DEL,
cutesv,1,756027,756415,388,DEL,
cutesv,1,756784,758836,2052,DEL,
cutesv,1,774862,774921,59,DEL,
cutesv,1,811077,811077,766,INS,
cutesv,1,841343,849331,7988,DUP,
cutesv,1,928680,930762,2082,DEL,
cutesv,1,1135240,1142724,7484,DEL,
cutesv,1,1286085,1286085,269,INS,
cutesv,1,1860723,1860723,141,INS,
cutesv,1,2211919,2213942,2023,DUP,
cutesv,1,2212678,2213937,1259,DEL,
cutesv,1,2238090,2241982,3892,DUP,
cutesv,1,2238295,2241003,2708,DUP,
cutesv,1,2333225,2333225,157,INS,
cutesv,1,2453634,2453634,818,INS,
cutesv,1,2454130,2454443,313,DUP,
cutesv,1,2454328,2454328,33,INS,
cutesv,1,2493011,2493453,442,DEL,
cutesv,1,2583555,2589894,6339,DEL,
cutesv,1,2765841,2765905,64,DEL,
cutesv,1,3097395,3098599,1204,DEL,
cutesv,1,3130338,3130338,85,INS,
cutesv,1,3177064,3177064,646,INS,
cutesv,1,4044754,4045261,507,DEL,
cutesv,1,4137428,4138914,1486,DEL,
cutesv,1,4403378,4403378,844,INS,
cutesv,1,4800146,4800146,1049,INS,
cutesv,1,5172045,5172045,723,INS,
cutesv,1,5220152,5220152,749,INS,
cutesv,1,5283940,5287105,3165,DEL,
cutesv,1,5877009,5877335,326,DEL,
cutesv,1,5892202,5892202,437,INS,
cutesv,1,5906339,5913622,7283,DUP,
cutesv,1,5929034,5929452,418,DEL,
cutesv,1,5944552,5944689,137,DEL,
cutesv,1,6064977,6065639,662,DEL,
cutesv,1,6188097,6188911,814,INV,
cutesv,1,7022963,7023527,564,DEL,
cutesv,1,7043629,7043629,1075,INS,
cutesv,1,7175448,7175742,294,DEL,
cutesv,1,7569787,7571559,1772,DUP,
cutesv,1,7715053,7715286,233,DEL,
cutesv,1,7872006,7872940,934,INV,
cutesv,1,7889474,7890319,845,DEL,
cutesv,1,7925031,7925509,478,DEL,
cutesv,1,8182405,8190873,8468,DEL,
cutesv,1,8204081,8210853,6772,DUP,
cutesv,1,8361490,8361568,78,DEL,
cutesv,1,8381816,8381816,801,INS,
cutesv,1,8446609,8446609,323,INS,
cutesv,1,8501969,8501969,353,INS,
cutesv,1,8550456,8551043,587,DEL,
cutesv,1,8706086,8706265,179,DEL,
cutesv,1,9595455,9597660,2205,DEL,
cutesv,1,9762594,9766105,3511,DEL,
cutesv,1,10195939,10200575,4636,DUP,
cutesv,1,10397360,10398405,1045,INV,
cutesv,1,10722089,10722532,443,DEL,
cutesv,1,10804246,10804960,714,DEL,
cutesv,1,11101184,11101442,258,DEL,
cutesv,1,12458217,12459264,1047,INV,
cutesv,1,12871325,12880150,8825,DEL,
cutesv,1,13169589,13178499,8910,DUP,
cutesv,1,13179116,13187503,8387,DEL,
cutesv,1,13187503,13187503,313,INS,
cutesv,1,13200059,13202463,2404,DEL,
cutesv,1,13211907,13219913,8006,DUP,
cutesv,1,13706951,13711307,4356,DEL,
cutesv,1,14454784,14454921,137,DEL,
